25.02.2020 06:09:58: 0h 24min | Sherman(76561198038112694) | Teleport to [2471.63,4600.78,0](GPS: 024015)
25.02.2020 06:09:58: 0h 24min | HoyoBani(76561198105940600) | FastFire - 1
25.02.2020 06:09:59: 0h 24min | HoyoBani(76561198105940600) | UnlimAmmo - 1
25.02.2020 06:10:04: 0h 24min | HoyoBani(76561198105940600) | Teleport - Me To Target - Sherman [CIV](76561198038112694)
25.02.2020 06:10:04: 0h 24min | Sherman(76561198038112694) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_F)
25.02.2020 06:10:10: 0h 24min | HoyoBani(76561198105940600) | Deleting B_Plane_CAS_01_F @024015..
25.02.2020 06:10:16: 0h 25min | Sherman(76561198038112694) | Deleting HoyoBani(76561198105940600) vehicle: B_T_APC_Tracked_01_AA_F @024015..
25.02.2020 06:10:21: 0h 25min | HoyoBani(76561198105940600) | Deleting Sherman(76561198038112694) vehicle: C_man_1 @024015..
25.02.2020 06:10:35: 0h 25min | HoyoBani(76561198105940600) | spawning M5 Sandstorm MLRS (B_T_MBT_01_mlrs_F)
25.02.2020 06:10:45: 0h 25min | Sherman(76561198038112694) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_F)
25.02.2020 06:12:19: 0h 27min | HoyoBani(76561198105940600) | Teleport to [3944.9,5274.98,0](GPS: 039022)
25.02.2020 06:12:33: 0h 27min | HoyoBani(76561198105940600) | Teleport to [2529.33,4892.33,0](GPS: 025018)
25.02.2020 06:12:42: 0h 27min | HoyoBani(76561198105940600) | Teleport to [2488.52,4584.27,0](GPS: 024015)
25.02.2020 06:12:46: 0h 27min | HoyoBani(76561198105940600) | Deleting B_T_MBT_01_mlrs_F @024015..
25.02.2020 06:13:00: 0h 27min | HoyoBani(76561198105940600) | Teleport to [2998.76,4859.89,0](GPS: 029017)
25.02.2020 06:13:03: 0h 27min | HoyoBani(76561198105940600) | Deleting Sherman(76561198038112694) vehicle: B_Plane_CAS_01_F @030017..
25.02.2020 06:13:05: 0h 27min | HoyoBani(76561198105940600) | Deleting  @030017..
25.02.2020 06:13:11: 0h 27min | Sherman(76561198038112694) | Teleport to [2347.42,4411.81,0](GPS: 023013)
25.02.2020 06:13:14: 0h 27min | HoyoBani(76561198105940600) | Teleport to [2354.32,4409.96,0](GPS: 023013)
25.02.2020 06:13:23: 0h 28min | Sherman(76561198038112694) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_F)
25.02.2020 06:13:39: 0h 28min | HoyoBani(76561198105940600) | spawning F/A-181 Black Wasp II (B_Plane_Fighter_01_F)
25.02.2020 06:14:16: 0h 29min | Nino Marino(76561198206026112) | Teleport to [3426.28,4219.3,0](GPS: 034011)
25.02.2020 06:14:35: 0h 29min | Nino Marino(76561198206026112) | Teleport to [3414.34,4219.96,0](GPS: 034011)
25.02.2020 06:15:32: 0h 30min | Sherman(76561198038112694) | Eject - HoyoBani [CIV](76561198105940600)
25.02.2020 06:15:41: 0h 30min | Sherman(76561198038112694) | Eject - Sherman [CIV](76561198038112694)
25.02.2020 06:15:46: 0h 30min | HoyoBani(76561198105940600) | Teleport to [3414.5,4170.98,0](GPS: 034010)
25.02.2020 06:15:55: 0h 30min | HoyoBani(76561198105940600) | Deleting B_Plane_CAS_01_F @033011..
25.02.2020 06:16:16: 0h 31min | Sherman(76561198038112694) | spawning M4 Scorcher (B_MBT_01_arty_F)
25.02.2020 06:16:36: 0h 31min | Sherman(76561198038112694) | Deleting B_MBT_01_arty_F @034011..
25.02.2020 06:16:47: 0h 31min | HoyoBani(76561198105940600) | Teleport to [4045.29,5088.07,0](GPS: 040020)
25.02.2020 06:16:57: 0h 31min | HoyoBani(76561198105940600) | spawning F/A-181 Black Wasp II (B_Plane_Fighter_01_F)
25.02.2020 06:17:21: 0h 32min | Sherman(76561198038112694) | spawning K40 Ababil-3 (CAS) (O_UAV_02_CAS_F)
25.02.2020 06:17:26: 0h 32min | Sherman(76561198038112694) | Deleting O_UAV_02_CAS_F @034010..
25.02.2020 06:17:28: 0h 32min | Sherman(76561198038112694) | Teleport to [5619.57,3646.19,0](GPS: 056005)
25.02.2020 06:17:45: 0h 32min | Sherman(76561198038112694) | spawning A-143 Buzzard (CAS) (I_Plane_Fighter_03_CAS_F)
25.02.2020 06:18:23: 0h 33min | Nino Marino(76561198206026112) | spawning Toyota Supra Fast and furious  (V12_SUPRAFNF_FAST)
25.02.2020 06:18:24: 0h 33min | Nino Marino(76561198206026112) | spawning Toyota Supra Fast and furious Mat (V12_SUPRAFNF_FASTMAT)
25.02.2020 06:18:26: 0h 33min | Nino Marino(76561198206026112) | spawning Toyota Supra FNF (V12_SUPRAFNF_F)
25.02.2020 06:18:28: 0h 33min | Nino Marino(76561198206026112) | spawning Toyota Supra SlapJack FNF2 (V12_SLAPJACK)
25.02.2020 06:18:29: 0h 33min | Nino Marino(76561198206026112) | spawning Toyota Supra SlapJack FNF2 (V12_SLAPJACK_F)
25.02.2020 06:18:38: 0h 33min | Nino Marino(76561198206026112) | spawning NISSAN SILVIA S15 (V12_S15_F)
25.02.2020 06:18:41: 0h 33min | Nino Marino(76561198206026112) | spawning NISSAN SKYLINE FNF (V12_SKYLINEFNF_F)
25.02.2020 06:18:41: 0h 33min | Sherman(76561198038112694) | Eject - Sherman [CIV](76561198038112694)
25.02.2020 06:18:44: 0h 33min | Sherman(76561198038112694) | Teleport to [5672.4,3676.86,0](GPS: 056006)
25.02.2020 06:18:56: 0h 33min | Nino Marino(76561198206026112) | Deleting V12_SUPRAFNF_FASTMAT @034011..
25.02.2020 06:19:10: 0h 33min | Sherman(76561198038112694) | spawning To-201 Shikra (Stealth) (O_Plane_Fighter_02_Stealth_F)
25.02.2020 06:19:20: 0h 34min | Sherman(76561198038112694) | Deleting O_Plane_Fighter_02_Stealth_F @056006..
25.02.2020 06:19:35: 0h 34min | Sherman(76561198038112694) | spawning A-149 Gryphon (I_Plane_Fighter_04_F)
25.02.2020 06:19:41: 0h 34min | Sherman(76561198038112694) | Deleting I_Plane_Fighter_04_F @056006..
25.02.2020 06:19:52: 0h 34min | Sherman(76561198038112694) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_F)
25.02.2020 06:19:58: 0h 34min | Sherman(76561198038112694) | Vehicle God Mode - 1
25.02.2020 06:19:58: 0h 34min | Nino Marino(76561198206026112) | Deleting V12_SLAPJACK @035009..
25.02.2020 06:20:20: 0h 35min | Nino Marino(76561198206026112) | spawning Ð£ÐÐ—-452 (d3s_452)
25.02.2020 06:20:27: 0h 35min | Nino Marino(76561198206026112) | spawning Koenigsegg Agera '11 (d3s_agera_11)
25.02.2020 06:20:35: 0h 35min | Nino Marino(76561198206026112) | spawning Toyota Avalon'18 (d3s_avalon_18)
25.02.2020 06:21:45: 0h 36min | Nino Marino(76561198206026112) | spawning AC Schnitzer ACS5 Sport (E60)'09 (d3s_e60_09_ACS5)
25.02.2020 06:22:08: 0h 36min | Nino Marino(76561198206026112) | spawning Brabus G800 6.0 Biturbo Widestar'17 (d3s_g800_17)
25.02.2020 06:22:15: 0h 36min | Nino Marino(76561198206026112) | spawning Ð“ÐÐ—-66'64 Ð‘Ð¾Ñ€Ñ‚ (d3s_gaz66)
25.02.2020 06:22:31: 0h 37min | Nino Marino(76561198206026112) | spawning Koenigsegg Jesko '20 (d3s_jesko_20)
25.02.2020 06:22:33: 0h 37min | Nino Marino(76561198206026112) | spawning Koenigsegg Jesko '20 (d3s_jesko_20)
25.02.2020 06:22:38: 0h 37min | Nino Marino(76561198206026112) | spawning Koenigsegg Jesko Expensive'20 (d3s_jesko_20_E)
25.02.2020 06:22:43: 0h 37min | Nino Marino(76561198206026112) | spawning Nissan Juke R 2.0 ''Black Pearl''15 (d3s_juke_15_B)
25.02.2020 06:22:45: 0h 37min | Nino Marino(76561198206026112) | spawning Skoda Kodiaq'17 (d3s_kodiaq_17)
25.02.2020 06:22:47: 0h 37min | Nino Marino(76561198206026112) | spawning Skoda Kodiaq'17 (d3s_kodiaq_17_TAXI)
25.02.2020 06:23:46: 0h 38min | Nino Marino(76561198206026112) | spawning Nissan Titan Warrior'17 (d3s_titan_17)
25.02.2020 06:23:49: 0h 38min | Nino Marino(76561198206026112) | spawning Nissan Titan Warrior'17 (d3s_titan_17)
25.02.2020 06:23:58: 0h 38min | Nino Marino(76561198206026112) | Deleting d3s_titan_17 @035009..
25.02.2020 06:24:01: 0h 38min | Nino Marino(76561198206026112) | Deleting d3s_g800_17 @035009..
25.02.2020 06:24:03: 0h 38min | Nino Marino(76561198206026112) | Deleting d3s_kodiaq_17_TAXI @035008..
25.02.2020 06:24:05: 0h 38min | Nino Marino(76561198206026112) | Deleting d3s_kodiaq_17 @035008..
25.02.2020 06:24:10: 0h 38min | Nino Marino(76561198206026112) | Deleting d3s_e60_09_ACS5 @035008..
25.02.2020 06:24:11: 0h 38min | Nino Marino(76561198206026112) | Deleting d3s_gaz66 @035008..
25.02.2020 06:24:14: 0h 38min | Nino Marino(76561198206026112) | Deleting d3s_juke_15_B @035008..
25.02.2020 06:24:16: 0h 38min | Nino Marino(76561198206026112) | Deleting d3s_avalon_18 @035008..
25.02.2020 06:24:18: 0h 39min | Nino Marino(76561198206026112) | Deleting d3s_jesko_20_E @035008..
25.02.2020 06:24:21: 0h 39min | Nino Marino(76561198206026112) | Deleting d3s_jesko_20 @035009..
25.02.2020 06:24:25: 0h 39min | Nino Marino(76561198206026112) | Deleting d3s_titan_17 @035009..
25.02.2020 06:24:29: 0h 39min | Nino Marino(76561198206026112) | Deleting d3s_agera_11 @035009..
25.02.2020 06:24:32: 0h 39min | Nino Marino(76561198206026112) | Deleting d3s_452 @035008..
25.02.2020 06:24:41: 0h 39min | Nino Marino(76561198206026112) | spawning Yamaha TT650 (TT650_Civ)
25.02.2020 06:24:47: 0h 39min | Nino Marino(76561198206026112) | Deleting TT650_Civ @035008..
25.02.2020 06:25:02: 0h 39min | Sherman(76561198038112694) | UnlimAmmo - 1
25.02.2020 06:25:20: 0h 40min | Nino Marino(76561198206026112) | spawning Datsun Fairlady Z432 (Jonzie_Datsun_Z432)
25.02.2020 06:25:20: 0h 40min | Nino Marino(76561198206026112) | spawning Datsun Fairlady Z432 (Jonzie_Datsun_Z432)
25.02.2020 06:26:12: 0h 40min | Nino Marino(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
25.02.2020 06:26:21: 0h 41min | Nino Marino(76561198206026112) | spawning YAMAHA YFZ 450 RACE 5 (V12_YFZ450_RACE5)
25.02.2020 06:26:24: 0h 41min | Nino Marino(76561198206026112) | spawning YAMAHA YFZ 450 RACE 1 (V12_YFZ450_RACE1)
25.02.2020 06:26:32: 0h 41min | Nino Marino(76561198206026112) | spawning YAMAHA YFZ 450 NOIR (V12_YFZ450_NOIR)
25.02.2020 06:26:48: 0h 41min | Nino Marino(76561198206026112) | spawning NISSAN SILVIA S15 TOKYO DRIFT (V12_S15_FNF)
25.02.2020 06:26:51: 0h 41min | Nino Marino(76561198206026112) | spawning NISSAN SILVIA S15 NOIR (V12_S15_NOIR)
25.02.2020 06:26:52: 0h 41min | Nino Marino(76561198206026112) | spawning NISSAN SILVIA S15 (V12_S15_F)
25.02.2020 06:27:01: 0h 41min | Nino Marino(76561198206026112) | spawning DODGE CHARGER RT (V12_RT)
25.02.2020 06:27:04: 0h 41min | Nino Marino(76561198206026112) | spawning DODGE CHARGER RT (V12_RT_F)
25.02.2020 06:27:31: 0h 42min | Nino Marino(76561198206026112) | spawning Volkswagen Jetta FNF (V12_JETTA)
25.02.2020 06:27:39: 0h 42min | Nino Marino(76561198206026112) | spawning FREIGHTLINER TRANSPORT Bleu (V12_FREIGHTLINER2)
25.02.2020 06:27:44: 0h 42min | Nino Marino(76561198206026112) | spawning FREIGHTLINER TRANSPORT (V12_FREIGHTLINER_F)
25.02.2020 06:27:48: 0h 42min | Nino Marino(76561198206026112) | spawning Mitsubishi EVO 7 FNF2 (V12_EVO7_F)
25.02.2020 06:27:49: 0h 42min | Nino Marino(76561198206026112) | spawning MITSUBISHI ECLIPSE FNF 1 (V12_ECLIPSEFNF1)
25.02.2020 06:27:51: 0h 42min | Nino Marino(76561198206026112) | spawning DUCATI DIAVEL Blanche et Rouge (V12_DIAVEL_BR)
25.02.2020 06:27:57: 0h 42min | Nino Marino(76561198206026112) | spawning SHELBY COBRA BLEU MAT (V12_COBRA_BLEUM)
25.02.2020 06:28:00: 0h 42min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 BLEU FONCER (V12_BELAIR_BLEUF)
25.02.2020 06:29:45: 0h 44min | Sherman(76561198038112694) | spawning IFV-6a Cheetah (B_APC_Tracked_01_AA_F)
25.02.2020 06:29:57: 0h 44min | Sherman(76561198038112694) | Deleting B_APC_Tracked_01_AA_F @035000..
25.02.2020 06:30:08: 0h 44min | Sherman(76561198038112694) | spawning IFV-6a Cheetah (B_APC_Tracked_01_AA_F)
25.02.2020 06:30:24: 0h 45min | Sherman(76561198038112694) | Teleport to [3646.58,3994,0](GPS: 036009)
25.02.2020 06:31:30: 0h 46min | HoyoBani(76561198105940600) | Vehboost - 1
25.02.2020 06:31:32: 0h 46min | Sherman(76561198038112694) | Deleting B_APC_Tracked_01_AA_F @036009..
25.02.2020 06:31:41: 0h 46min | Sherman(76561198038112694) | spawning M5 Sandstorm MLRS (B_MBT_01_mlrs_F)
25.02.2020 06:32:27: 0h 47min | Sherman(76561198038112694) | Vehboost - 1
25.02.2020 06:33:17: 0h 48min | Sherman(76561198038112694) | Deleting B_MBT_01_mlrs_F @034008..
25.02.2020 06:33:33: 0h 48min | HoyoBani(76561198105940600) | Vehboost - 0
25.02.2020 06:33:49: 0h 48min | HoyoBani(76561198105940600) | Teleport to [3399.47,3446.15,308.555](GPS: 033003)
25.02.2020 06:34:40: 0h 49min | Sherman(76561198038112694) | Teleport to [3535.54,3976.76,0](GPS: 035009)
25.02.2020 06:34:44: 0h 49min | Nino Marino(76561198206026112) | HealRepairNear
25.02.2020 06:34:44: 0h 49min | Nino Marino(76561198206026112) | HealRepairNear
25.02.2020 06:34:58: 0h 49min | Nino Marino(76561198206026112) | Deleting V12_S15_FNF @035009..
25.02.2020 06:35:00: 0h 49min | Nino Marino(76561198206026112) | Deleting V12_YFZ450_NOIR @035008..
25.02.2020 06:35:01: 0h 49min | Nino Marino(76561198206026112) | Deleting Jonzie_Datsun_Z432 @035008..
25.02.2020 06:35:04: 0h 49min | Nino Marino(76561198206026112) | Deleting V12_S15_NOIR @035008..
25.02.2020 06:36:10: 0h 50min | Nino Marino(76561198206026112) | spawning Kuwaiti Bahbahani | Base (DC_GMC1979)
25.02.2020 06:37:02: 0h 51min | Nino Marino(76561198206026112) | HealRepairNear
25.02.2020 06:37:02: 0h 51min | Nino Marino(76561198206026112) | HealRepairNear
25.02.2020 06:37:13: 0h 51min | Nino Marino(76561198206026112) | HealRepairNear
25.02.2020 06:37:13: 0h 51min | Nino Marino(76561198206026112) | HealRepairNear
25.02.2020 06:38:40: 0h 53min | Nino Marino(76561198206026112) | Deleting DC_GMC1979 @034008..
