20.02.2020 05:09:42: 3h 52min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198041233395)
20.02.2020 05:10:16: 3h 52min | Donnie Turbo(76561198041233395) | Revive - civ_4(76561198361509989)
20.02.2020 05:10:22: 3h 52min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198180893505)
20.02.2020 05:14:39: 3h 57min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198272370927)
20.02.2020 05:16:52: 3h 59min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - John Anderson [CIV](76561198180893505)
20.02.2020 05:17:04: 3h 59min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - Peppe Valachi [CIV](76561198272370927)
20.02.2020 05:17:28: 3h 59min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198272370927)
20.02.2020 05:18:40: 4h 1min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198180893505)
20.02.2020 05:18:47: 4h 1min | Donnie Turbo(76561198041233395) | Deleting V12_KTM50CCN @033011..
20.02.2020 05:18:56: 4h 1min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198272370927)
20.02.2020 05:20:02: 4h 2min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198180893505)
20.02.2020 05:20:44: 4h 3min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198272370927)
20.02.2020 21:55:21: 15h 38min | K-12 J Shepard(76561198043298972) | spawning Ford Crown Victoria'98 Mafia (d3s_crown_mafia)
20.02.2020 21:55:26: 15h 38min | K-12 J Shepard(76561198043298972) | locked - [d3s_crown_mafia]
20.02.2020 21:56:57: 15h 40min | K-12 J Shepard(76561198043298972) | Deleting d3s_crown_mafia @035000..
20.02.2020 21:58:49: 15h 42min | Sherman(76561198038112694) | Teleport to [3604.29,3129.49,0](GPS: 036000)
20.02.2020 22:01:24: 15h 44min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 22:01:50: 15h 45min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 22:01:57: 15h 45min | Sherman(76561198038112694) | unlocked - [V12_YZF_VO]
20.02.2020 22:01:58: 15h 45min | Sherman(76561198038112694) | locked - [V12_YZF_VO]
20.02.2020 22:02:26: 15h 45min | Sherman(76561198038112694) | locked - [V12_YZF_VO]
20.02.2020 22:03:52: 15h 47min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 22:15:59: 15h 59min | Sherman(76561198038112694) | Revive - civ_3()
20.02.2020 22:16:01: 15h 59min | Sherman(76561198038112694) | Revive - civ_3(76561198043298972)
20.02.2020 22:21:24: 16h 4min | Sherman(76561198038112694) | locked - [d3s_raptor_17]
20.02.2020 22:21:25: 16h 4min | Sherman(76561198038112694) | unlocked - [d3s_raptor_17]
20.02.2020 22:21:42: 16h 5min | Sherman(76561198038112694) | unlocked - [d3s_LaFerrari_14]
20.02.2020 22:21:43: 16h 5min | Sherman(76561198038112694) | locked - [d3s_LaFerrari_14]
20.02.2020 22:21:47: 16h 5min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @031002..
20.02.2020 22:22:09: 16h 5min | Donnie Turbo(76561198041233395) | spawning Axe (Max_axe)
20.02.2020 22:23:19: 16h 6min | Sherman(76561198038112694) | SPECTATE - switchedCamera on Sherman(76561198038112694) - C_man_1
20.02.2020 22:23:21: 16h 6min | Sherman(76561198038112694) | Revive - civ_2()
20.02.2020 22:23:23: 16h 6min | Sherman(76561198038112694) | Revive - civ_2(76561198038112694)
20.02.2020 22:39:46: 16h 23min | K-12 J Shepard(76561198043298972) | Teleport to [3549.01,4102.4,0](GPS: 035010)
20.02.2020 22:40:03: 16h 23min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
20.02.2020 22:40:04: 16h 23min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
20.02.2020 22:40:04: 16h 23min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
20.02.2020 22:40:04: 16h 23min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
20.02.2020 22:40:05: 16h 23min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
20.02.2020 22:40:05: 16h 23min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
20.02.2020 22:40:06: 16h 23min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
20.02.2020 22:40:06: 16h 23min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
20.02.2020 23:28:31: 17h 11min | K-12 J Shepard(76561198043298972) | Teleport to [2677.28,4111.41,0](GPS: 026010)
20.02.2020 23:28:36: 17h 11min | K-12 J Shepard(76561198043298972) | Teleport to [2520.25,4190.36,0](GPS: 025011)
20.02.2020 23:28:51: 17h 12min | K-12 J Shepard(76561198043298972) | Teleport to [2576.19,4093.02,0](GPS: 025010)
20.02.2020 23:29:01: 17h 12min | K-12 J Shepard(76561198043298972) | HealRepairNear
20.02.2020 23:52:04: 17h 35min | Donnie Turbo(76561198041233395) | Deleting d3s_g500_18_EMS @032005..
