29.02.2020 00:39:35: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2(76561198180893505)
29.02.2020 00:39:35: 0h 39min | Donnie Turbo(76561198041233395) | Revive - medic_6(76561198883479728)
29.02.2020 00:39:36: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding John Anderson(76561198180893505) @000050
29.02.2020 00:39:36: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2(76561198180893505)
29.02.2020 00:39:38: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding John Anderson(76561198180893505) @000050
29.02.2020 00:39:38: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2(76561198180893505)
29.02.2020 00:39:41: 0h 39min | Donnie Turbo(76561198041233395) | Revive - civ_2()
29.02.2020 00:39:49: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding C_man_1 @000050
29.02.2020 00:39:49: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2()
29.02.2020 00:39:50: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding C_man_1 @000050
29.02.2020 00:39:50: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2()
29.02.2020 00:39:50: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding C_man_1 @000050
29.02.2020 00:39:50: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2()
29.02.2020 00:39:50: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding C_man_1 @000050
29.02.2020 00:39:50: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2()
29.02.2020 00:39:51: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding C_man_1 @000050
29.02.2020 00:39:51: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2()
29.02.2020 00:39:59: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding Rogue Tjay(76561198883479728) @035999
29.02.2020 00:39:59: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6(76561198883479728)
29.02.2020 00:40:14: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Revive - medic_6()
29.02.2020 00:40:18: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding I_soldier_UAV_06_medical_F @035999
29.02.2020 00:40:18: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6()
29.02.2020 00:40:22: 0h 40min | Donnie Turbo(76561198041233395) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:40:22: 0h 40min | Donnie Turbo(76561198041233395) | Explode - cop_1(76561198206026112)
29.02.2020 00:40:24: 0h 40min | [1k-40] Jose Santana(76561198206026112) | Revive - medic_6()
29.02.2020 00:40:27: 0h 40min | [1k-40] Jose Santana(76561198206026112) | Exploding Donnie Turbo(76561198041233395) @035000
29.02.2020 00:40:27: 0h 40min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_2(76561198041233395)
29.02.2020 00:41:01: 0h 40min | Donnie Turbo(76561198041233395) | Revive - medic_6(76561198883479728)
29.02.2020 00:41:17: 0h 40min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198180893505)
29.02.2020 00:41:41: 0h 41min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198264871362)
29.02.2020 00:41:58: 0h 41min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198180893505)
29.02.2020 00:41:58: 0h 41min | Donnie Turbo(76561198041233395) | God Mode - 0
29.02.2020 00:42:08: 0h 41min | [1k-40] Jose Santana(76561198206026112) | Exploding John Anderson(76561198180893505) @000050
29.02.2020 00:42:08: 0h 41min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_2(76561198180893505)
29.02.2020 00:42:14: 0h 41min | [1k-40] Jose Santana(76561198206026112) | Exploding luke(76561198264871362) @036001
29.02.2020 00:42:14: 0h 41min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_1(76561198264871362)
29.02.2020 00:42:17: 0h 41min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198264871362)
29.02.2020 00:42:22: 0h 42min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198180893505)
29.02.2020 00:42:42: 0h 42min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198180893505)
29.02.2020 00:42:45: 0h 42min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Rogue Tjay [CIV](76561198883479728)
29.02.2020 00:43:00: 0h 42min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_3(76561198883479728)
29.02.2020 00:49:10: 0h 48min | Sherman(76561198038112694) | Teleport to [3520.31,3071.06,0](GPS: 035999)
29.02.2020 00:52:12: 0h 51min | Sherman(76561198038112694) | Teleport to [3343.5,3248.31,0](GPS: 033001)
29.02.2020 00:56:19: 0h 56min | Donnie Turbo(76561198041233395) | Heal - cop_2(76561198041233395)
29.02.2020 01:02:53: 1h 2min | Donnie Turbo(76561198041233395) | HealRepairNear
29.02.2020 01:02:54: 1h 2min | Donnie Turbo(76561198041233395) | HealRepairNear
29.02.2020 01:09:11: 1h 8min | Donnie Turbo(76561198041233395) | Teleport to [3626.72,3604.45,0](GPS: 036005)
29.02.2020 01:10:32: 1h 10min | Sherman(76561198038112694) | Revive - civ_1(76561198038112694)
29.02.2020 01:10:42: 1h 10min | Sherman(76561198038112694) | Teleport to [3683.98,3928.82,0](GPS: 036008)
