15.02.2020 03:03:53: 20h 37min | K-12 J Shepard(76561198043298972) | unlocked - [d3s_300_12_UNM]
15.02.2020 03:07:39: 20h 41min | Sherman(76561198038112694) | HealRepairNear
15.02.2020 03:10:34: 20h 44min | K-12 J Shepard(76561198043298972) | locked - [d3s_amazing_ACS8_17]
15.02.2020 03:10:35: 20h 44min | K-12 J Shepard(76561198043298972) | unlocked - [d3s_amazing_ACS8_17]
15.02.2020 03:11:29: 20h 45min | Donnie Turbo(76561198041233395) | Teleport to [3744.09,4142.14,0](GPS: 037010)
15.02.2020 03:11:39: 20h 45min | Nino Marino(76561198206026112) | Added 1 defibrillators to K-12 J Shepard!
15.02.2020 03:14:16: 20h 48min | K-12 J Shepard(76561198043298972) | locked - [d3s_300_12_UNM]
15.02.2020 03:15:19: 20h 49min | K-12 J Shepard(76561198043298972) | Teleport to [6624.27,6044.26,0](GPS: 066029)
15.02.2020 03:15:44: 20h 49min | Sherman(76561198038112694) | Teleport to [3334.11,3251.54,0](GPS: 033001)
15.02.2020 03:29:08: 21h 3min | Donnie Turbo(76561198041233395) | HealRepairNear
15.02.2020 03:29:09: 21h 3min | Donnie Turbo(76561198041233395) | HealRepairNear
15.02.2020 03:38:00: 21h 12min | Nino Marino(76561198206026112) | God Mode - 1
15.02.2020 03:38:09: 21h 12min | Sherman(76561198038112694) | Teleport to [3659.06,3237.49,0](GPS: 036001)
15.02.2020 03:41:53: 21h 15min | Donnie Turbo(76561198041233395) | spawning Scientist Outfit (Formal, White) (U_C_Uniform_Scientist_01_F)
15.02.2020 03:42:01: 21h 16min | Donnie Turbo(76561198041233395) | spawning Scientist Outfit (Formal, White) (U_C_Uniform_Scientist_01_F)
15.02.2020 03:51:06: 21h 25min | K-12 J Shepard(76561198043298972) | Teleport to [2795.21,4104.35,0](GPS: 027010)
15.02.2020 03:52:05: 21h 26min | Donnie Turbo(76561198041233395) | spawning Dodge Challenger Police Undercover'15 (d3s_challenger_15_CPU)
15.02.2020 03:52:41: 21h 26min | Donnie Turbo(76561198041233395) | locked - [d3s_challenger_15_CPU]
15.02.2020 03:52:52: 21h 26min | K-12 J Shepard(76561198043298972) | Deleting d3s_300_12_UNM @027010..
