28.01.2020 01:17:48: 4h 44min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
28.01.2020 01:17:56: 4h 44min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on xMADxHATERx(76561198281126215) - C_man_1
28.01.2020 01:26:25: 4h 53min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3874.67,3376.31,0](GPS: 038003)
28.01.2020 01:26:32: 4h 53min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3622.84,3337.78,0](GPS: 036002)
28.01.2020 01:33:56: 0h 4min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
28.01.2020 01:35:20: 0h 6min | Donnie Turbo(76561198041233395) | UnlimAmmo - 0
28.01.2020 01:36:07: 0h 7min | Donnie Turbo(76561198041233395) | Teleport to [3647.03,3223.46,0](GPS: 036001)
28.01.2020 01:49:20: 0h 20min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In Target Vehicle - Wyclef [CIV](76561198038112694)
28.01.2020 01:49:22: 0h 20min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In Target Vehicle - Wyclef [CIV](76561198038112694)
28.01.2020 01:49:24: 0h 20min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
28.01.2020 02:06:10: 0h 6min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [3954.59,3589.33,0](GPS: 039005)
28.01.2020 02:07:28: 0h 8min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Jon(76561198000920219) - C_man_1
28.01.2020 02:08:28: 0h 9min | Boyevik Butch-Mac Volkev(76561198089960350) | SPECTATE - switchedCamera on Jon(76561198000920219) - C_man_1
28.01.2020 02:08:29: 0h 9min | Donnie Turbo(76561198041233395) | spawning Axe (Max_axe)
28.01.2020 02:08:38: 0h 9min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [3661.17,3240.45,0](GPS: 036001)
28.01.2020 02:08:39: 0h 9min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3696.82,3201.39,0](GPS: 036001)
28.01.2020 02:09:09: 0h 9min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
28.01.2020 02:10:00: 0h 10min | H̩ctor "Lil Loco" Arturo(76561197999316388) | infiSTAR MapIcons - 1
28.01.2020 02:10:14: 0h 10min | Boyevik Butch-Mac Volkev(76561198089960350) | Kick (Announce) - civ_2(76561198000920219)
28.01.2020 02:10:32: 0h 11min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [3718.43,3227.39,0](GPS: 037001)
28.01.2020 02:10:55: 0h 11min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [3561.02,3145.37,0](GPS: 035000)
28.01.2020 02:14:07: 0h 14min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
28.01.2020 02:14:55: 0h 15min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3629.61,3345.85,0](GPS: 036002)
28.01.2020 02:18:43: 0h 19min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning HARLEY DAVIDSON CUSTOM BOBBER Rouge (V12_HARLEYBOBBER_Rouge)
28.01.2020 02:25:53: 0h 26min | [1k-40] Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @050013..
28.01.2020 02:25:55: 0h 26min | [1k-40] Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @050013..
28.01.2020 02:26:44: 0h 27min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - B_RangeMaster_F
28.01.2020 02:26:47: 0h 27min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Mike Hutchinson(76561198043298972) - B_RangeMaster_F
28.01.2020 02:29:21: 0h 30min | H̩ctor "Lil Loco" Arturo(76561197999316388) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
28.01.2020 02:29:22: 0h 30min | H̩ctor "Lil Loco" Arturo(76561197999316388) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
28.01.2020 02:29:22: 0h 30min | H̩ctor "Lil Loco" Arturo(76561197999316388) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
28.01.2020 02:29:23: 0h 30min | H̩ctor "Lil Loco" Arturo(76561197999316388) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
28.01.2020 02:29:24: 0h 30min | H̩ctor "Lil Loco" Arturo(76561197999316388) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
28.01.2020 02:30:26: 0h 31min | H̩ctor "Lil Loco" Arturo(76561197999316388) | spawning coca (200g) (pop_coca_b)
28.01.2020 02:30:48: 0h 31min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on H̩ctor "Lil Loco" Arturo(76561197999316388) - C_man_1
28.01.2020 02:30:58: 0h 31min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on [1k-40] Jose Santana(76561198206026112) - B_RangeMaster_F
28.01.2020 02:31:42: 0h 32min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
28.01.2020 02:32:21: 0h 33min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
28.01.2020 02:33:09: 0h 33min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 1 boltcutters to Mike Hutchinson!
28.01.2020 02:33:14: 0h 33min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 1 boltcutters to [1k-40] Jose Santana!
28.01.2020 02:34:03: 0h 34min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 4 lockpicks to [1k-40] Jose Santana!
28.01.2020 02:34:08: 0h 34min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 4 lockpicks to Mike Hutchinson!
28.01.2020 02:36:19: 0h 37min | H̩ctor "Lil Loco" Arturo(76561197999316388) | HealRepairNear
28.01.2020 02:42:44: 0h 43min | Boyevik Butch-Mac Volkev(76561198089960350) | locked - [V12_HARLEYBOBBER_Rouge]
28.01.2020 02:44:01: 0h 44min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [5562.67,2677.18,0](GPS: 055996)
28.01.2020 02:44:08: 0h 44min | H̩ctor "Lil Loco" Arturo(76561197999316388) | 2.500K Cash
28.01.2020 02:44:25: 0h 45min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [5073.44,2492.89,0](GPS: 050994)
28.01.2020 02:46:20: 0h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | 50K Cash
28.01.2020 02:48:20: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - d3s_explorer_UNM_13
