21.01.2020 03:22:21: 4h 12min | Donnie Turbo(76561198041233395) | Heal - civ_3(76561198264871362)
21.01.2020 03:27:33: 4h 17min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @036002..
21.01.2020 03:27:41: 4h 17min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @036002..
21.01.2020 03:28:03: 4h 17min | Nino Marino(76561198206026112) | unlocked - [d3s_boss_15]
21.01.2020 03:28:11: 4h 18min | Nino Marino(76561198206026112) | locked - [d3s_boss_15]
21.01.2020 03:30:55: 4h 20min | Nino Marino(76561198206026112) | unlocked - [d3s_charger_15_CPP]
21.01.2020 03:31:27: 4h 21min | Donnie Turbo(76561198041233395) | noRecoil - 1
21.01.2020 03:31:36: 4h 21min | Nino Marino(76561198206026112) | locked - [d3s_charger_15_CPP]
21.01.2020 03:34:23: 4h 24min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - B_RangeMaster_F
21.01.2020 03:35:39: 4h 25min | Donnie Turbo(76561198041233395) | Heal - civ_2(76561198041233395)
21.01.2020 03:39:04: 4h 28min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
21.01.2020 03:39:14: 4h 29min | Nino Marino(76561198206026112) | Revive - cop_1(76561198180893505)
21.01.2020 03:39:18: 4h 29min | Nino Marino(76561198206026112) | Revive - civ_3(76561198264871362)
21.01.2020 03:43:23: 4h 33min | Nino Marino(76561198206026112) | Revive - civ_3(76561198264871362)
21.01.2020 03:43:43: 4h 33min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
21.01.2020 03:43:48: 4h 33min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198041233395)
21.01.2020 03:43:52: 4h 33min | Nino Marino(76561198206026112) | Revive - cop_1(76561198180893505)
21.01.2020 03:44:59: 4h 34min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
21.01.2020 03:45:05: 4h 34min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198206026112)
21.01.2020 03:45:07: 4h 34min | Nino Marino(76561198206026112) | Teleport to [3569.22,3387.88,0](GPS: 035003)
21.01.2020 03:45:27: 4h 35min | Nino Marino(76561198206026112) | Teleport to [3586.01,3321.63,0](GPS: 035002)
21.01.2020 03:46:24: 4h 36min | Nino Marino(76561198206026112) | Revive - civ_3(76561198264871362)
21.01.2020 03:46:51: 4h 36min | Nino Marino(76561198206026112) | Added 3 zipties to Nino Marino!
21.01.2020 03:47:03: 4h 36min | Nino Marino(76561198206026112) | Revive - cop_1(76561198180893505)
21.01.2020 03:49:23: 4h 39min | Nino Marino(76561198206026112) | Restrain - cop_1(76561198180893505)
21.01.2020 03:50:01: 4h 39min | Nino Marino(76561198206026112) | Restrain - cop_1(76561198180893505)
21.01.2020 03:50:04: 4h 39min | Nino Marino(76561198206026112) | Unrestrain - cop_1(76561198180893505)
21.01.2020 03:51:02: 4h 40min | Nino Marino(76561198206026112) | Revive - cop_1(76561198180893505)
21.01.2020 03:51:10: 4h 41min | Nino Marino(76561198206026112) | HealRepairNear
21.01.2020 03:51:10: 4h 41min | Nino Marino(76561198206026112) | HealRepairNear
21.01.2020 03:51:37: 4h 41min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198041233395)
21.01.2020 03:51:40: 4h 41min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
21.01.2020 03:51:58: 4h 41min | Nino Marino(76561198206026112) | Revive - civ_3(76561198264871362)
21.01.2020 03:52:05: 4h 41min | Nino Marino(76561198206026112) | unlocked - [d3s_charger_15_CPP]
21.01.2020 03:52:20: 4h 42min | Nino Marino(76561198206026112) | HealRepairNear
21.01.2020 03:52:21: 4h 42min | Nino Marino(76561198206026112) | HealRepairNear
21.01.2020 03:52:42: 4h 42min | Nino Marino(76561198206026112) | Revive - cop_1(76561198180893505)
21.01.2020 03:52:45: 4h 42min | Donnie Turbo(76561198041233395) | Revive - cop_1(76561198180893505)
21.01.2020 03:53:23: 4h 43min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - O_T_LSV_02_unarmed_F
21.01.2020 03:53:48: 4h 43min | Nino Marino(76561198206026112) | HealRepairNear
